,Date,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,latitude,max_fluctuations,kp_indices
63,2019-07-05,0,4.34,2.28,7.35,3.74,-2.49,7.21,-0.94,-5.18,4.32,0.53,-3.00,4.27,344.39,1.25,358.87,7.07,-42.48,51.35,2.65,0.10,10.71,419.84,372.26,445.44,92567,32123,215413,7.753533301158613,16.14289317315827,0.9916673514571337
64,2019-07-06,0,2.19,1.25,3.67,1.83,-1.36,2.77,-0.49,-2.92,1.31,-0.09,-3.08,1.60,340.42,0.72,359.47,-2.42,-76.03,41.92,1.13,0.10,3.63,352.08,333.86,398.03,44465,23748,111388,-2.716834730120701,16.14289317315827,0.468148949893168
65,2019-07-07,0,3.42,1.00,5.10,-1.07,-3.65,2.22,-0.68,-3.96,3.50,-1.58,-4.08,1.77,192.92,42.09,335.29,-31.44,-82.97,42.70,2.54,1.02,6.86,347.40,324.30,359.87,40337,15389,83345,-37.95261106926834,16.14289317315827,-1.2936398670642142
66,2019-07-08,0,4.76,3.47,18.99,-0.6,-8.95,7.18,-4.2,-11.08,11.08,0.54,-4.87,15.74,261.42,78.25,321.70,6.43,-55.86,60.32,1.62,0.25,16.28,315.12,294.31,424.91,14685,10175,342161,7.1961221905687704,16.14289317315827,0.9637967959276416
67,2019-07-09,0,7.32,2.26,13.02,-0.68,-8.32,7.08,2.53,-5.76,10.70,-1.87,-10.88,8.46,100.41,3.76,356.65,-16.84,-78.80,55.03,3.31,0.80,7.16,442.35,375.11,646.54,165651,48775,521879,-30.155522143084273,16.14289317315827,-0.9037854207550107
68,2019-07-10,0,5.37,3.35,10.20,-3.07,-8.22,3.43,3.19,-6.33,7.35,-1.07,-6.80,5.26,135.87,39.97,278.23,-10.06,-65.89,62.13,1.26,0.13,4.03,596.25,493.40,664.27,219204,57587,520630,-13.220138180117974,16.14289317315827,-0.0570162226066957
69,2019-07-11,0,4.70,3.42,6.75,-3.67,-4.88,1.67,2.37,-1.30,5.92,-0.18,-5.36,3.68,143.59,60.44,200.62,-2.14,-66.75,53.45,0.61,0.10,2.46,528.14,459.79,619.07,196525,35072,420328,-2.357363100753993,16.14289317315827,0.4861225313615034
70,2019-07-12,0,5.13,3.57,6.75,-3.75,-5.97,1.62,2.66,-0.35,5.22,-0.29,-4.79,3.43,143.47,13.53,299.25,-3.65,-81.84,39.99,0.36,0.10,2.44,461.49,419.77,506.15,73306,20161,312212,-3.602074848770687,16.14289317315827,0.4238869439606687
71,2019-07-13,0,4.63,2.16,6.79,-3.65,-5.67,2.00,0.95,-3.93,4.92,0.14,-3.78,4.08,164.04,19.87,322.04,2.09,-75.71,56.36,1.34,0.10,3.07,447.42,414.64,480.40,88510,34990,252335,2.12435193650738,16.14289317315827,0.7102082832245721
72,2019-07-14,0,4.27,1.81,5.35,-3.98,-4.97,2.37,0.26,-2.48,2.45,0.13,-3.83,2.29,177.56,21.52,227.96,1.80,-73.08,31.09,1.05,0.10,3.57,440.55,411.87,472.80,84711,39701,169073,1.8658385829395245,16.14289317315827,0.6972826155461793
