,Date,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,latitude,max_fluctuations,kp_indices
887,2021-10-06,1,8.67,2.72,11.97,-0.42,-5.82,5.86,4.09,-5.95,11.57,-1.45,-9.53,8.52,98.49,13.89,350.32,-18.97,-69.96,62.40,19.94,8.92,29.97,319.90,301.10,337.00,23686,16778,42717,-18.396689514712108,16.14289317315827,-0.31584378933640234
888,2021-10-07,1,6.53,2.87,10.15,-2.71,-7.09,0.93,2.44,-3.86,6.54,-0.91,-6.50,9.69,142.96,95.82,287.75,-13.69,-64.80,84.58,5.67,1.45,19.87,306.50,295.00,338.30,41956,13465,162891,-13.610656247648723,16.14289317315827,-0.07654212598323307
889,2021-10-08,1,2.82,1.51,4.22,-0.28,-3.02,2.25,1.8,-3.11,3.54,-1.48,-3.27,1.27,107.22,17.36,329.82,-32.96,-78.36,28.37,9.56,6.37,13.58,288.00,282.00,305.70,29792,18762,41464,-32.23429556211887,16.14289317315827,-1.0077240917067403
890,2021-10-09,1,4.64,2.58,7.06,0.05,-3.31,1.72,0.61,-6.61,4.29,-2.1,-4.75,3.32,189.54,41.62,311.22,-27.07,-77.75,59.96,8.88,5.60,14.92,293.60,270.50,346.20,26422,9130,846112,-43.83252446986509,16.14289317315827,-1.5876355370940514
891,2021-10-10,1,8.02,3.57,11.54,-0.66,-6.63,4.58,2.71,-6.28,8.88,-0.3,-10.76,8.99,102.81,8.25,349.93,-1.74,-85.33,75.54,16.55,7.90,29.91,304.80,291.80,338.70,29274,14297,95260,-6.104040081832778,16.14289317315827,0.29878868230756417
892,2021-10-11,1,5.45,3.19,9.75,0.14,-5.23,4.87,0.53,-6.46,8.02,-3.41,-8.28,4.56,56.37,7.70,355.95,-40.65,-85.75,39.26,7.15,3.32,13.44,381.10,321.80,407.30,72124,39018,297074,-44.634544551362815,16.14289317315827,-1.6277365411689375
893,2021-10-12,1,8.34,1.94,16.23,-1.04,-6.61,8.80,-1.01,-11.89,15.78,-1.76,-14.82,9.18,208.46,8.12,347.63,-23.03,-84.42,59.46,16.79,4.94,33.53,455.70,359.70,495.50,82727,10288,328838,-37.663222355327385,16.14289317315827,-1.2791704313671661
894,2021-10-13,1,4.20,3.61,4.90,3.18,-3.63,4.18,2.58,-1.63,4.22,-0.25,-2.02,2.13,41.91,4.64,350.99,-3.46,-28.97,26.71,4.06,3.25,7.65,425.00,383.20,457.80,73884,9713,113672,-3.487121789154798,16.14289317315827,0.42963459694146316
895,2021-10-14,1,4.85,2.48,8.21,3.06,-1.44,5.65,0.94,-5.54,4.19,-2.94,-5.51,3.13,9.22,1.01,358.73,-37.43,-79.78,51.49,7.45,3.38,19.45,381.40,365.70,402.50,39900,13894,75383,-34.07555663494516,16.14289317315827,-1.0997871453480548
896,2021-10-15,1,4.29,1.62,5.62,-1.79,-4.62,4.42,-1.25,-4.44,2.92,-0.15,-5.24,3.54,227.89,5.97,345.39,-1.89,-76.76,59.65,9.23,4.36,16.59,350.80,300.80,382.40,118413,30603,313672,-3.9211024514560613,16.14289317315827,0.4079355638264
897,2021-10-16,1,8.61,6.53,9.50,-3.39,-6.06,4.43,-1.01,-8.71,5.31,7.11,-7.29,8.87,199.07,32.28,329.37,55.42,-70.77,83.82,8.54,2.63,17.68,391.30,307.00,417.20,77979,10049,347410,41.83869013750588,16.14289317315827,2.6959251932744968
898,2021-10-17,1,8.95,6.58,11.81,2.91,-2.73,8.02,5.64,-3.60,8.91,-5.51,-8.32,8.70,57.51,7.66,348.75,-35.93,-69.81,70.55,6.71,3.24,11.77,353.30,333.00,403.40,24694,9543,433664,-33.248490153100185,16.14289317315827,-1.0584338212558062
899,2021-10-18,1,10.46,2.86,12.81,2.67,-2.89,7.18,7.12,-7.09,12.31,0.33,-6.30,10.23,50.28,4.46,356.17,3.35,-67.37,75.86,13.79,5.55,31.86,361.70,321.90,384.20,33627,12074,166804,2.482588026634528,16.14289317315827,0.7281200877309295
900,2021-10-19,1,5.37,1.92,9.43,0.45,-4.60,5.77,0.18,-8.36,6.67,0.56,-7.07,7.38,3.29,5.47,352.31,7.70,-68.06,66.25,11.75,5.35,27.20,375.20,338.00,416.40,114888,22835,290684,37.09422558955536,16.14289317315827,2.458701965876971
901,2021-10-20,1,4.75,1.18,12.20,-0.31,-4.57,10.31,-2.41,-7.61,4.14,1.6,-4.96,5.80,269.69,1.39,356.77,20.89,-44.52,58.24,11.92,5.00,21.06,402.10,373.30,519.00,68563,19924,291583,28.808806923474112,16.14289317315827,2.0444310325729087
903,2021-10-22,2,3.34,1.28,5.87,2.26,-3.34,3.95,-1.52,-5.25,0.65,0.98,-2.14,4.07,315.26,1.89,358.88,17.28,-46.50,62.56,4.79,3.48,12.24,460.70,417.30,497.90,154015,72142,306224,18.70444034266993,16.14289317315827,1.5392127035326997
904,2021-10-23,1,2.82,1.38,4.34,1.34,-2.49,3.11,-1.37,-4.17,0.72,0.62,-2.21,2.33,303.67,5.15,355.85,13.96,-71.31,57.49,4.07,2.93,8.33,386.50,338.20,472.20,106086,39271,198491,17.10932704407811,16.14289317315827,1.4594570386031087
905,2021-10-24,1,4.51,2.57,5.93,0.31,-3.18,3.81,-3.17,-5.33,3.18,-0.04,-4.87,4.96,280.85,5.45,354.02,-0.38,-81.54,69.36,7.34,3.87,11.03,350.70,312.80,376.50,70211,28751,161573,-0.7194481954581086,16.14289317315827,0.5680182766262977
906,2021-10-25,1,5.86,4.51,8.16,1.66,-4.04,6.28,-4.9,-7.34,2.90,0.14,-4.01,5.56,291.38,14.03,349.99,1.41,-40.96,46.61,7.52,3.22,27.57,330.60,302.80,347.40,26649,17440,67181,1.5495204904931006,16.14289317315827,0.6814667109238581
907,2021-10-26,1,4.26,1.91,6.79,1.98,-3.37,4.99,-2.12,-5.85,4.15,0.27,-4.31,4.33,316.51,2.55,357.89,4.28,-60.49,62.77,6.29,4.17,9.79,342.90,317.50,386.50,51527,22935,124868,5.294837292707328,16.14289317315827,0.8687325510345695
908,2021-10-27,1,3.54,1.50,6.13,1.29,-3.41,3.48,-2.04,-5.76,0.28,1.38,-1.79,3.38,300.35,5.75,353.98,26.35,-29.52,61.30,3.47,1.81,7.06,375.80,332.70,409.20,66127,5958,121722,26.397424764743732,16.14289317315827,1.9238619246363897
909,2021-10-28,1,2.78,1.37,5.02,0.42,-2.95,3.06,-2.0,-4.21,-0.25,0.6,-1.78,3.21,277.30,205.16,351.07,20.13,-35.37,60.48,9.24,4.75,16.35,305.30,293.10,331.90,12840,5844,25890,15.732828823017115,16.14289317315827,1.3906321275500588
910,2021-10-29,1,4.84,1.72,7.49,1.07,-3.72,5.43,-2.15,-5.17,2.67,1.27,-4.91,4.45,301.36,2.50,358.04,17.64,-59.85,49.42,9.11,6.38,21.08,294.90,284.80,334.30,28214,15271,70268,25.055334580108543,16.14289317315827,1.8567574154046302
912,2021-10-31,2,5.53,3.36,12.10,-4.54,-9.65,4.53,1.23,-5.09,8.47,-0.63,-10.74,4.76,160.86,56.39,324.70,-5.19,-74.81,58.15,9.42,0.61,17.57,423.30,374.50,460.10,105369,52832,174960,-7.561945446068168,16.14289317315827,0.22589341409579466
913,2021-11-01,1,4.87,2.32,14.98,-3.09,-10.14,3.50,-0.01,-7.22,12.45,-1.03,-8.22,14.18,180.32,73.32,334.61,-16.75,-67.81,79.77,11.26,4.02,35.93,367.10,330.40,459.40,66418,17581,238638,-17.548322985037842,16.14289317315827,-0.2734254628526891
915,2021-11-03,2,3.42,2.21,20.73,-2.42,-17.80,11.38,1.38,-9.16,16.61,-0.49,-12.56,12.91,141.56,38.64,275.36,-8.27,-58.02,57.04,7.07,0.14,19.87,532.80,247.50,762.23,411917,5000,1272640,-9.827894836872494,16.14289317315827,0.11259594455557836
916,2021-11-04,2,15.45,13.47,23.23,-7.79,-12.34,17.91,9.45,-5.07,18.87,0.88,-16.39,10.86,110.71,11.48,353.73,3.21,-60.70,52.96,7.63,0.10,21.22,667.90,246.70,791.53,292905,5000,1206024,4.099386341360117,16.14289317315827,0.8089600034672089
917,2021-11-05,1,7.52,1.56,14.47,-0.85,-9.32,6.61,-0.37,-7.20,3.96,3.94,-2.10,12.19,230.84,4.32,355.10,40.42,-24.48,82.71,8.57,5.25,24.99,563.40,517.00,609.90,189938,15287,810825,44.22827959282151,16.14289317315827,2.815404666040278
918,2021-11-06,1,4.17,1.09,9.90,1.65,-3.74,4.29,-2.41,-5.41,1.78,-0.62,-3.84,7.49,296.92,17.29,349.69,-10.64,-78.68,67.00,8.57,6.38,18.38,556.70,516.30,628.40,215833,36709,620717,-11.73073617108925,16.14289317315827,0.017453877844740617
920,2021-11-08,2,4.56,0.91,5.41,2.65,-1.56,4.82,-2.23,-4.58,2.13,1.39,-3.97,4.00,321.70,3.96,357.97,18.72,-86.24,60.29,3.89,0.18,15.22,403.70,372.60,464.70,67451,22856,164911,20.428288356779596,16.14289317315827,1.625405104238183
922,2021-11-10,2,4.22,1.71,5.68,-2.01,-4.32,4.50,0.12,-4.57,4.66,0.9,-4.88,4.47,166.11,51.47,355.97,13.20,-77.46,77.05,5.89,1.99,12.19,430.30,395.40,458.00,118298,72106,205976,22.198378021752717,16.14289317315827,1.7139095874868389
923,2021-11-11,1,4.74,2.77,6.74,-3.62,-4.92,5.75,0.14,-4.69,2.67,0.73,-3.55,4.75,196.71,6.10,351.96,9.47,-46.98,77.70,7.77,3.40,12.66,388.10,365.10,425.20,102609,46112,205688,11.174134998744611,16.14289317315827,1.1626974363364337
924,2021-11-12,1,5.14,4.44,6.94,4.2,0.60,5.78,-2.32,-5.74,3.72,0.73,-3.91,4.73,329.13,2.84,358.43,8.37,-38.72,56.13,4.60,2.22,6.60,379.80,336.30,408.10,83052,13021,136543,8.553774063888152,16.14289317315827,1.0316793895936107
925,2021-11-13,1,4.19,2.11,5.13,2.19,-2.95,4.73,-2.66,-4.22,2.55,-0.01,-2.27,2.85,305.83,2.07,358.33,-0.08,-32.50,57.35,5.01,2.00,8.07,341.50,307.30,376.00,36281,9271,90167,-0.16628884897954904,16.14289317315827,0.5956762439502256
926,2021-11-14,1,3.56,2.04,5.13,0.97,-2.55,3.29,-2.8,-4.54,-0.02,-1.5,-3.90,2.95,284.89,179.59,325.57,-24.70,-68.93,53.85,11.89,7.20,14.41,310.50,292.00,340.70,16585,9794,30157,-24.305511485817245,16.14289317315827,-0.6112848878916592
927,2021-11-15,1,4.44,2.13,19.48,0.28,-9.87,9.85,-0.26,-13.56,16.51,0.35,-10.83,17.85,312.53,15.77,354.82,4.08,-75.77,86.06,14.95,9.68,50.10,318.30,293.00,518.30,23459,11596,386691,34.03722384124356,16.14289317315827,2.305851878461381
929,2021-11-17,2,4.94,2.85,7.67,3.28,-1.90,6.96,-1.54,-6.61,3.87,1.17,-4.42,4.75,333.50,1.52,358.87,14.03,-53.08,76.09,7.76,1.15,10.74,596.10,539.50,636.30,302691,115866,433269,17.08055493043705,16.14289317315827,1.4580184329210555
930,2021-11-18,1,3.77,2.27,5.36,3.17,-3.19,4.87,-1.06,-3.65,1.84,-0.08,-2.45,2.48,339.09,1.10,358.01,-1.19,-50.32,32.47,6.97,5.58,8.82,529.60,485.50,558.90,284420,199784,454833,-1.3706615354643044,16.14289317315827,0.5354576096259879
932,2021-11-20,2,6.06,3.72,8.93,4.82,-0.88,7.28,-2.21,-6.58,4.45,0.91,-5.54,5.25,337.78,1.99,358.08,8.05,-69.61,63.40,8.59,1.62,11.45,522.80,408.00,576.10,239017,64965,360292,9.600393106393359,16.14289317315827,1.0840103417188711
934,2021-11-22,2,3.33,1.79,4.40,1.81,-3.00,3.93,-1.02,-3.88,2.40,-0.06,-3.10,3.35,324.51,1.32,359.25,-1.17,-64.17,69.90,7.37,1.92,8.57,560.70,521.20,617.20,384038,208549,484251,-1.653508348009894,16.14289317315827,0.5213152689987084
935,2021-11-23,1,4.19,2.24,5.50,2.78,-2.44,4.50,-1.55,-4.30,3.46,-0.39,-4.89,4.44,331.07,1.20,357.88,-5.92,-77.61,66.42,7.78,4.96,10.94,514.80,480.30,551.60,253080,158287,422832,-6.93425244274579,16.14289317315827,0.2572780642619136
936,2021-11-24,1,4.38,3.07,5.01,2.13,-2.18,4.53,-2.23,-4.88,3.38,0.89,-2.83,4.38,317.62,1.86,357.06,12.01,-40.63,79.25,6.69,5.48,10.58,467.30,433.60,513.50,165197,95814,264963,15.498064743144218,16.14289317315827,1.378893923556414
937,2021-11-25,1,3.07,0.67,4.91,0.76,-3.08,3.67,-1.33,-4.17,1.48,-0.62,-4.15,2.60,293.98,3.00,355.59,-19.21,-81.94,49.69,6.38,2.80,9.45,449.10,398.00,469.90,157269,64632,229158,-20.565047886988246,16.14289317315827,-0.42426170795020934
938,2021-11-26,1,4.22,1.33,6.17,0.63,-2.10,2.62,-1.47,-4.67,4.32,1.06,-2.14,5.80,304.11,2.90,355.20,14.86,-81.71,82.62,6.58,2.65,16.11,351.30,336.00,397.70,23939,13166,92340,28.918811941485114,16.14289317315827,2.049931283473459
939,2021-11-27,1,3.87,2.32,15.17,-1.02,-2.90,6.96,0.88,-14.06,3.84,-1.19,-4.06,4.16,142.67,36.23,348.87,-19.21,-66.13,80.85,4.73,1.74,28.25,326.60,296.50,382.80,38151,10087,142500,-33.50621173820457,16.14289317315827,-1.0713199005110254
940,2021-11-28,1,10.57,7.55,16.96,4.66,-1.10,9.52,-6.37,-13.14,2.32,4.36,-13.95,14.54,311.61,4.86,353.63,24.67,-68.11,82.95,13.66,5.58,25.93,372.80,337.40,409.10,55408,11396,205675,25.805789995526048,16.14289317315827,1.8942801861755054
941,2021-11-29,1,4.31,2.63,8.79,2.69,-3.84,5.11,-1.67,-4.83,2.23,-1.26,-7.49,3.61,317.72,2.00,355.93,-18.13,-69.22,52.98,7.08,4.89,10.73,370.30,341.00,394.10,89708,26661,160771,-20.291771812878707,16.14289317315827,-0.4105979042447323
942,2021-11-30,1,3.23,1.11,15.07,0.34,-9.57,7.34,0.19,-9.58,10.97,-0.55,-11.89,8.04,46.34,6.78,352.99,-11.56,-74.26,79.86,10.21,5.43,36.51,349.70,330.10,469.50,24840,8787,325121,-39.21760951634306,16.14289317315827,-1.35688978941795
943,2021-12-01,1,6.48,3.91,8.65,-2.73,-6.05,2.81,3.69,-5.86,7.81,-2.62,-6.50,5.65,140.61,60.22,266.53,-24.52,-72.23,51.63,7.24,5.51,9.95,507.40,456.60,562.90,242858,185826,395202,-26.36868963718085,16.14289317315827,-0.7144437954598395
944,2021-12-02,1,4.45,2.53,5.77,-1.48,-4.70,3.25,1.76,-3.37,5.31,-0.41,-4.93,3.76,134.43,29.12,323.28,-5.90,-79.87,67.97,7.64,5.54,12.24,497.10,459.30,534.00,265949,169448,457560,-9.955512791411756,16.14289317315827,0.10621504682861527
945,2021-12-03,1,5.68,2.87,8.72,-2.09,-5.56,4.11,2.92,-4.28,8.08,-0.68,-6.82,5.95,128.53,50.21,252.25,-7.40,-76.38,55.80,8.22,5.34,13.66,448.50,411.60,478.30,185592,58418,349965,-10.540003270110756,16.14289317315827,0.07699052289366526
946,2021-12-04,1,4.96,1.84,8.49,-3.03,-5.68,5.34,3.03,-1.48,7.51,-0.32,-6.14,3.50,127.28,14.57,329.55,-4.21,-47.95,33.86,7.05,4.32,10.08,480.30,415.80,517.10,184966,86230,350700,-4.258988224040766,16.14289317315827,0.39104127519716475
947,2021-12-05,1,5.62,4.73,6.99,-4.5,-6.36,2.07,1.36,-1.75,6.80,-1.49,-5.34,4.75,157.24,45.02,209.50,-15.22,-70.98,60.23,9.01,5.78,13.03,459.20,419.90,513.20,197311,122761,344500,-16.811628003458214,16.14289317315827,-0.23659071377370766
949,2021-12-08,2,3.88,3.03,5.13,-2.87,-4.07,1.82,1.54,-0.55,4.65,-1.17,-3.15,2.52,148.89,66.21,189.80,-17.82,-56.66,44.17,4.52,3.35,7.18,415.60,381.10,451.10,101606,71479,271364,-18.678770667904242,16.14289317315827,-0.3299478469960091
950,2021-12-09,2,2.00,0.81,3.21,-1.0,-2.57,1.76,0.92,-0.78,2.99,-0.42,-2.58,2.05,132.01,15.58,232.22,-10.89,-80.26,51.02,5.63,2.35,6.96,350.57,323.50,362.18,28923,15213,69080,-16.45220637472241,16.14289317315827,-0.2186196323369175
951,2021-12-10,2,3.82,0.99,8.52,-0.21,-3.64,5.83,1.21,-7.31,7.92,-0.35,-5.68,4.35,121.93,7.53,355.70,-7.07,-63.51,52.19,13.40,2.65,32.13,313.40,304.10,330.60,19425,11649,47705,-15.327356896072802,16.14289317315827,-0.162377158404437
953,2021-12-12,2,5.84,3.04,7.17,2.75,-0.70,5.09,-4.75,-5.97,4.26,-0.72,-4.29,2.31,308.60,7.10,338.76,-7.29,-45.73,24.53,10.23,7.32,21.89,304.30,293.00,320.66,24548,14896,36300,-7.41063477191568,16.14289317315827,0.23345894780341908
954,2021-12-13,2,6.64,3.35,9.11,2.4,-2.54,5.93,0.53,-5.10,8.84,3.78,-5.10,6.28,16.27,5.26,354.29,37.13,-57.80,79.12,15.21,5.20,22.64,317.20,300.10,334.10,21696,15171,50267,39.97512515685018,16.14289317315827,2.602746944241712
955,2021-12-14,1,4.51,2.16,7.36,0.21,-2.55,5.70,0.63,-5.67,6.20,-1.87,-5.82,3.68,77.70,23.82,348.35,-25.59,-84.59,64.54,11.63,9.03,22.27,318.20,307.30,346.60,34586,20290,62629,-43.29973376059598,16.14289317315827,-1.5609960016305957
956,2021-12-15,1,7.67,5.46,15.44,4.74,-1.50,9.82,-3.78,-10.55,5.50,1.63,-7.95,12.43,327.00,1.30,358.16,13.01,-63.54,67.22,11.42,8.51,28.46,520.10,331.20,553.00,250682,17674,364151,14.554791659339326,16.14289317315827,1.3317302693661692
958,2021-12-17,2,2.78,1.02,4.42,1.51,-3.13,3.54,-1.31,-3.01,1.83,0.07,-2.15,2.47,305.17,2.02,358.74,1.83,-56.16,49.69,5.24,0.61,6.63,383.00,356.95,456.00,68678,28524,155003,2.0042586902718864,16.14289317315827,0.7042036209127974
959,2021-12-18,1,3.52,1.67,4.74,1.7,-2.75,4.48,-1.06,-3.55,2.88,-0.49,-3.56,2.59,319.57,0.74,358.70,-9.17,-71.31,41.29,5.30,2.34,9.96,354.80,331.70,369.10,47836,13140,84317,-13.36463957136323,16.14289317315827,-0.06424129216895846
960,2021-12-19,1,5.96,3.18,22.90,3.78,-9.22,10.95,-3.69,-18.28,4.70,1.62,-17.56,12.36,302.07,2.09,357.81,14.78,-71.46,60.29,10.11,3.03,43.18,352.00,320.70,474.10,51462,13380,393741,16.3409757689556,16.14289317315827,1.421039474846983
962,2021-12-21,2,5.08,3.54,5.94,3.1,-3.02,5.43,-2.34,-5.04,1.95,0.9,-4.29,5.10,315.26,1.71,357.86,10.59,-63.53,65.54,12.89,0.66,16.22,578.61,530.90,633.72,517742,25155,1030303,12.720606169231841,16.14289317315827,1.240020994860795
963,2021-12-22,2,4.77,3.53,5.65,3.3,-3.20,5.17,-1.55,-4.68,4.52,-0.48,-3.83,5.19,340.16,1.99,357.51,-5.92,-52.25,74.80,14.46,0.90,15.72,574.50,568.10,609.51,556782,324555,838230,-7.436704148414735,16.14289317315827,0.23215547897846628
964,2021-12-23,1,4.53,3.95,4.99,2.04,-2.15,4.74,-3.39,-4.62,1.66,1.28,-2.68,3.99,301.89,7.64,356.04,16.62,-37.02,60.87,12.36,6.05,17.97,518.80,473.00,577.40,415942,174257,712723,17.109014050103386,16.14289317315827,1.4594413889043722
965,2021-12-24,1,4.19,2.85,4.93,2.53,-1.85,4.78,-1.89,-4.13,2.93,-0.36,-3.91,3.98,325.24,2.30,357.54,-4.90,-54.82,80.51,5.06,3.87,12.56,438.70,414.60,519.10,118590,71808,379497,-6.46192181380316,16.14289317315827,0.28089459570904507
966,2021-12-25,1,4.55,3.27,5.87,3.1,-1.91,4.36,1.2,-3.66,4.74,-1.81,-4.45,3.39,19.17,2.37,358.83,-24.27,-63.31,40.63,8.36,2.95,10.52,466.70,422.00,495.60,301375,102526,497673,-25.557384208316797,16.14289317315827,-0.6738785240166367
967,2021-12-26,1,3.27,2.47,4.40,0.47,-2.95,3.98,-1.48,-3.11,3.08,-1.06,-3.16,2.56,277.52,21.56,354.77,-17.34,-59.97,60.51,3.34,1.76,10.28,374.20,310.80,533.30,55608,7383,563959,-29.413865138855158,16.14289317315827,-0.8667025705435549
969,2021-12-28,2,7.99,3.71,10.43,-1.44,-7.72,3.52,6.34,0.41,9.64,-0.94,-7.29,4.38,103.75,18.87,175.34,-8.66,-46.24,56.10,7.43,2.51,12.66,465.90,416.90,538.90,337754,86419,617264,-8.143437286995017,16.14289317315827,0.19681882204945222
970,2021-12-29,2,5.41,3.41,17.77,1.73,-3.93,9.51,4.48,1.26,14.09,-0.36,-3.73,8.93,74.65,35.54,137.27,-4.29,-62.23,55.02,6.85,2.88,27.69,389.90,348.40,433.10,29780,7578,158714,-4.2750443418604975,16.14289317315827,0.39023846930617817
971,2021-12-30,2,3.60,1.74,20.29,1.01,-6.22,9.74,1.82,-9.08,13.55,0.08,-6.86,16.71,74.98,11.04,353.03,1.48,-52.73,73.70,8.51,3.55,27.35,458.30,392.20,514.10,237878,41404,364863,2.1994262452944,16.14289317315827,0.7139619986639231
972,2021-12-31,2,4.01,1.70,7.61,0.47,-6.52,4.15,2.46,-1.15,5.58,1.1,-4.00,5.59,82.26,6.52,335.94,17.02,-75.74,80.23,7.31,5.19,14.06,434.20,397.40,467.10,92691,64447,284308,21.90666914367281,16.14289317315827,1.6993241435828437
973,2022-01-01,2,8.42,6.60,10.11,-5.1,-7.12,0.14,5.9,-3.13,8.37,0.11,-7.96,6.48,132.02,87.50,224.61,0.85,-66.61,50.57,9.73,0.98,15.06,535.30,398.90,591.20,466716,110544,788506,0.8080162977054041,16.14289317315827,0.6443915012844733
974,2022-01-02,2,6.47,4.97,7.68,-4.1,-6.65,2.22,3.4,-6.52,7.02,-0.43,-5.70,4.13,153.79,70.10,292.54,-3.98,-68.61,35.79,11.91,2.41,14.79,523.10,469.00,589.00,434194,214149,667364,-4.600616134662601,16.14289317315827,0.373959879666073
975,2022-01-03,2,6.07,4.32,9.32,-3.49,-7.66,6.05,3.02,-5.49,6.84,-0.6,-5.53,5.27,131.76,5.20,354.55,-5.88,-58.14,57.86,10.38,1.84,15.40,520.60,462.09,619.30,351974,60072,778603,-7.345997728460068,16.14289317315827,0.23669079997619968
976,2022-01-04,2,5.42,4.93,6.98,-3.53,-5.30,2.39,3.49,-4.99,6.93,0.07,-4.24,2.49,138.07,62.00,256.88,0.69,-47.86,26.14,4.97,2.97,9.75,440.30,388.47,517.90,120429,14186,385618,0.8078292094714752,16.14289317315827,0.6443821468727768
977,2022-01-05,2,5.37,4.45,7.54,-1.9,-4.94,2.46,4.04,-1.59,7.26,1.19,-4.34,5.64,119.46,54.82,214.76,11.96,-62.19,67.46,4.42,1.54,7.46,407.80,368.78,448.30,107094,52543,275678,14.442965976457359,16.14289317315827,1.3261389852220709
978,2022-01-06,2,4.67,3.30,5.50,-1.18,-3.72,3.62,3.11,0.28,5.29,1.49,-2.11,3.98,90.84,27.12,171.99,18.56,-36.47,57.21,2.66,0.99,5.46,387.90,342.51,523.80,68427,7754,213877,22.23479657589992,16.14289317315827,1.715730515194199
979,2022-01-07,2,3.54,2.72,4.29,-2.22,-3.50,2.43,2.17,-0.32,3.75,0.94,-1.46,3.28,135.62,38.05,188.23,15.60,-27.39,66.46,3.51,0.62,6.50,316.80,291.20,521.60,46655,7451,259057,16.161694981877204,16.14289317315827,1.4120754354930631
980,2022-01-08,2,4.17,2.05,19.51,-0.66,-4.70,7.83,3.29,-16.06,16.83,-0.9,-15.40,15.57,106.17,33.93,333.31,-10.90,-70.87,63.49,19.77,2.92,46.06,303.50,290.60,517.70,18146,9086,334064,-14.523561861903774,16.14289317315827,-0.1221874066959856
981,2022-01-09,2,3.95,1.37,19.31,1.69,-3.64,11.35,-1.52,-16.15,1.81,-0.28,-7.55,14.71,280.50,0.85,358.99,-4.32,-69.01,64.42,9.80,4.03,15.57,470.10,412.10,545.70,295546,58335,479929,-6.97046937762491,16.14289317315827,0.2554672175179576
982,2022-01-10,2,3.65,2.52,5.90,-0.81,-3.33,4.31,-2.16,-4.14,3.92,-1.02,-3.49,3.08,254.19,8.68,337.53,-19.17,-76.62,43.86,5.65,3.44,11.84,439.10,403.86,476.90,108077,52751,335307,-22.017893527844624,16.14289317315827,-0.4969039899930281
983,2022-01-11,2,5.07,1.81,6.39,3.22,-3.51,5.94,-1.69,-5.05,2.45,0.09,-3.81,4.10,315.87,2.02,358.31,1.13,-53.64,44.38,6.90,2.68,10.82,394.70,351.00,419.40,81562,25032,168007,1.417274453157879,16.14289317315827,0.674854409057097
984,2022-01-12,2,6.80,4.74,8.27,3.9,0.16,7.47,-2.82,-7.54,5.08,2.37,-2.96,5.59,338.21,3.42,352.92,19.19,-31.99,61.94,6.28,2.19,9.66,379.98,351.20,415.10,60466,10770,271121,23.834989249327975,16.14289317315827,1.7957401488656017
985,2022-01-13,2,5.49,3.76,6.59,2.58,-1.73,5.04,-3.64,-5.92,1.79,2.15,-3.73,6.14,303.80,10.28,355.32,23.37,-44.46,80.14,4.16,1.01,7.64,445.80,322.10,521.90,128940,10227,322146,23.466299856042987,16.14289317315827,1.7773056792013524
986,2022-01-14,2,9.10,6.07,16.49,0.87,-5.04,5.48,-6.27,-10.59,5.06,-0.37,-15.90,7.88,275.35,34.64,317.07,-3.12,-74.28,73.12,9.05,2.22,17.47,363.70,342.10,436.50,56468,14004,246858,-3.339511604915325,16.14289317315827,0.4370151061534368
987,2022-01-15,2,8.34,1.91,13.39,3.1,-5.50,10.50,-3.46,-9.62,3.94,-0.98,-10.97,9.10,304.48,2.78,355.11,-12.28,-77.54,71.53,13.18,3.52,19.62,474.90,440.30,588.09,274687,102414,465828,-11.662610567622975,16.14289317315827,0.020860158018054298
988,2022-01-16,2,5.38,3.79,7.41,2.96,-3.71,5.97,-2.47,-6.95,4.49,0.29,-4.82,5.23,324.00,1.46,357.63,3.16,-65.72,72.58,10.72,2.81,15.67,554.50,524.90,624.93,368451,212982,672186,4.289798129991757,16.14289317315827,0.8184805928987909
989,2022-01-17,2,4.84,2.82,7.95,1.82,-3.76,5.12,-1.17,-7.47,4.83,0.5,-6.21,5.67,332.74,1.79,357.89,6.32,-60.19,79.93,10.01,1.43,14.76,545.70,481.54,605.90,343736,68204,529631,12.689053720740333,16.14289317315827,1.2384433724362198
990,2022-01-18,2,4.94,3.33,8.52,2.53,-2.47,5.51,-2.05,-6.50,6.16,-1.85,-6.62,2.22,329.26,2.40,358.27,-21.59,-70.43,35.43,9.91,0.79,12.47,575.55,546.20,646.30,470037,90903,985858,-26.288293292791213,16.14289317315827,-0.7104239782403576
991,2022-01-19,2,3.91,1.86,9.16,-2.84,-5.86,6.72,-1.44,-7.50,6.62,-0.31,-7.99,7.15,223.52,4.06,358.01,-4.87,-66.04,62.17,7.10,1.23,16.37,617.67,551.00,678.80,186653,10336,695501,-5.534524682456764,16.14289317315827,0.32726445227636486
992,2022-01-20,2,4.87,3.88,5.62,4.29,-0.99,5.18,-0.58,-3.30,2.87,1.72,-3.01,3.97,349.76,0.28,359.59,21.46,-48.54,49.35,5.40,2.30,10.26,474.80,438.67,521.80,224332,65854,459808,20.26619914328035,16.14289317315827,1.6173006435632205
